Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Unit_Price
P0054,Premium Writing 54,Office Supplies,Writing,172.43,204.75
P0055,Premium Kitchen 55,Home Appliances,Kitchen,1781.02,2036.38
P0056,Premium Cleaning 56,Home Appliances,Cleaning,1756.12,1989.94
P0057,Premium Small Appliance 57,Home Appliances,Small Appliances,6638.11,7930.58
P0058,Premium Fitnes 58,Sports,Fitness,2598.09,3134.13
P0059,Premium Outdoor 59,Sports,Outdoor,4077.94,5490.39
P0060,Premium Sportswear 60,Sports,Sportswear,3891.8,5094.98
P0061,Smart Laptop 61,Electronics,Laptops,56797.6,73859.0
P0062,Smart Mobile 62,Electronics,Mobiles,38532.59,45323.0
P0063,Smart Accessorie 63,Electronics,Accessories,1280.37,1532.68
P0064,Smart Chair 64,Furniture,Chairs,8357.78,10550.26
P0065,Smart Table 65,Furniture,Tables,11806.86,14287.54
P0066,Smart Storage 66,Furniture,Storage,5781.02,6663.48
P0067,Smart Stationery 67,Office Supplies,Stationery,153.61,205.09
P0068,Smart Paper 68,Office Supplies,Paper,626.35,756.48
P0069,Smart Writing 69,Office Supplies,Writing,405.37,480.0
P0070,Smart Kitchen 70,Home Appliances,Kitchen,11731.57,14191.12
P0071,Smart Cleaning 71,Home Appliances,Cleaning,2692.52,3233.98
P0072,Smart Small Appliance 72,Home Appliances,Small Appliances,2099.0,2411.53
P0073,Smart Fitnes 73,Sports,Fitness,5360.79,7223.83
P0074,Smart Outdoor 74,Sports,Outdoor,4805.97,5559.01
P0075,Smart Sportswear 75,Sports,Sportswear,2909.68,3338.72
P0076,Eco Laptop 76,Electronics,Laptops,37038.26,47803.81
P0077,Eco Mobile 77,Electronics,Mobiles,37687.31,43013.51
P0078,Eco Accessorie 78,Electronics,Accessories,464.21,639.37
P0079,Eco Chair 79,Furniture,Chairs,2016.15,2491.11
P0080,Eco Table 80,Furniture,Tables,9055.43,10418.21
P0081,Eco Storage 81,Furniture,Storage,3275.15,3967.74
P0082,Eco Stationery 82,Office Supplies,Stationery,614.11,768.77
P0083,Eco Paper 83,Office Supplies,Paper,674.11,927.67
P0084,Eco Writing 84,Office Supplies,Writing,388.64,479.17
P0085,Eco Kitchen 85,Home Appliances,Kitchen,5800.15,7429.3
P0086,Eco Cleaning 86,Home Appliances,Cleaning,4824.87,6031.98
P0087,Eco Small Appliance 87,Home Appliances,Small Appliances,6803.75,7661.83
P0088,Eco Fitnes 88,Sports,Fitness,3722.17,4438.78
P0089,Eco Outdoor 89,Sports,Outdoor,1036.29,1187.47
P0090,Eco Sportswear 90,Sports,Sportswear,3174.68,3987.83
P0091,Max Laptop 91,Electronics,Laptops,46411.29,57663.57
P0092,Max Mobile 92,Electronics,Mobiles,35627.15,41708.79
P0093,Max Accessorie 93,Electronics,Accessories,3364.84,4451.81
P0094,Max Chair 94,Furniture,Chairs,7498.54,9572.95
P0095,Max Table 95,Furniture,Tables,9139.66,10381.39
P0096,Max Storage 96,Furniture,Storage,4522.23,5174.56
P0097,Max Stationery 97,Office Supplies,Stationery,771.78,891.5
P0098,Max Paper 98,Office Supplies,Paper,236.6,319.72
P0099,Max Writing 99,Office Supplies,Writing,473.09,624.06
P0100,Max Kitchen 100,Home Appliances,Kitchen,860.54,964.11
