Product_ID,Region,Stock_Quantity,Reorder_Level
P0032,East,156,41
P0033,West,34,12
P0033,South,14,47
P0033,North,20,12
P0033,East,180,12
P0034,West,177,44
P0034,South,175,17
P0034,North,53,12
P0034,East,111,20
P0035,West,160,11
P0035,South,139,17
P0035,North,145,28
P0035,East,21,30
P0036,West,81,39
P0036,South,128,15
P0036,North,51,18
P0036,East,28,25
P0037,West,132,38
P0037,South,21,28
P0037,North,114,17
P0037,East,107,27
P0038,West,67,23
P0038,South,90,49
P0038,North,221,33
P0038,East,234,21
P0039,West,231,22
P0039,South,89,13
P0039,North,154,10
P0039,East,190,32
P0040,West,138,47
P0040,South,41,48
P0040,North,85,30
P0040,East,165,37
P0041,West,88,15
P0041,South,33,13
P0041,North,230,35
P0041,East,166,36
P0042,West,20,30
P0042,South,97,38
P0042,North,41,36
P0042,East,196,35
P0043,West,199,29
P0043,South,180,27
P0043,North,195,14
P0043,East,143,14
P0044,West,24,18
P0044,South,135,47
P0044,North,158,10
P0044,East,182,42
P0045,West,81,14
P0045,South,239,45
P0045,North,245,29
P0045,East,188,33
P0046,West,27,28
P0046,South,230,39
P0046,North,113,24
P0046,East,123,18
P0047,West,158,48
P0047,South,12,10
P0047,North,193,45
P0047,East,184,46
P0048,West,36,44
P0048,South,249,20
P0048,North,126,27
P0048,East,193,29
P0049,West,246,33
P0049,South,150,25
P0049,North,46,47
P0049,East,127,38
P0050,West,195,39
P0050,South,235,38
P0050,North,224,36
P0050,East,63,27
P0051,West,95,15
P0051,South,203,40
P0051,North,156,32
P0051,East,96,12
P0052,West,219,48
P0052,South,107,27
P0052,North,147,31
P0052,East,57,25
P0053,West,240,16
P0053,South,41,13
P0053,North,33,47
P0053,East,17,45
P0054,West,192,42
P0054,South,172,34
P0054,North,10,23
P0054,East,59,17
P0055,West,166,25
P0055,South,94,46
P0055,North,120,27
P0055,East,131,16
P0056,West,222,41
P0056,South,29,19
P0056,North,44,44
P0056,East,222,40
P0057,West,4,42
P0057,South,109,19
P0057,North,6,32
P0057,East,20,37
P0058,West,232,40
P0058,South,156,36
P0058,North,71,19
P0058,East,138,18
P0059,West,103,31
P0059,South,49,35
P0059,North,167,46
P0059,East,190,11
P0060,West,241,28
P0060,South,131,25
P0060,North,235,47
P0060,East,182,16
P0061,West,203,23
P0061,South,243,30
P0061,North,148,43
P0061,East,231,45
P0062,West,84,16
P0062,South,20,19
P0062,North,62,25
P0062,East,76,34
P0063,West,228,36
P0063,South,157,17
P0063,North,122,40
P0063,East,29,16
P0064,West,22,27
P0064,South,236,47
P0064,North,118,39
P0064,East,199,39
P0065,West,73,21
P0065,South,166,16
P0065,North,223,26
P0065,East,105,14
P0066,West,222,30
P0066,South,140,24
P0066,North,215,16
P0066,East,59,13
P0067,West,173,28
P0067,South,28,44
P0067,North,118,45
P0067,East,135,43
P0068,West,3,11
P0068,South,93,11
P0068,North,131,38
P0068,East,200,30
P0069,West,147,11
P0069,South,54,42
P0069,North,28,15
P0069,East,99,25
P0070,West,164,14
P0070,South,223,18
P0070,North,225,46
P0070,East,62,48
P0071,West,220,49
P0071,South,121,40
P0071,North,42,12
P0071,East,54,34
P0072,West,107,45
P0072,South,102,22
P0072,North,186,28
P0072,East,233,25
P0073,West,230,39
P0073,South,129,44
P0073,North,58,10
P0073,East,153,12
P0074,West,218,37
P0074,South,241,23
P0074,North,162,33
P0074,East,215,43
P0075,West,248,15
P0075,South,247,40
P0075,North,35,38
P0075,East,140,38
P0076,West,142,17
P0076,South,88,42
P0076,North,84,25
P0076,East,236,46
P0077,West,161,26
P0077,South,33,22
P0077,North,104,24
P0077,East,50,31
P0078,West,176,13
P0078,South,214,48
P0078,North,199,22
P0078,East,168,10
P0079,West,16,26
P0079,South,66,17
P0079,North,117,38
P0079,East,234,31
P0080,West,1,11
P0080,South,72,26
P0080,North,220,42
P0080,East,181,38
P0081,West,106,15
P0081,South,179,15
P0081,North,44,46
P0081,East,79,10
P0082,West,21,20
P0082,South,128,43
P0082,North,48,22
P0082,East,176,37
P0083,West,229,22
P0083,South,249,39
P0083,North,195,45
P0083,East,163,23
P0084,West,68,32
P0084,South,86,24
P0084,North,121,17
P0084,East,198,20
P0085,West,172,32
P0085,South,30,36
P0085,North,65,49
P0085,East,60,40
P0086,West,64,17
P0086,South,16,34
P0086,North,151,39
P0086,East,114,40
P0087,West,185,22
P0087,South,89,24
P0087,North,108,41
P0087,East,15,44
P0088,West,18,18
P0088,South,39,49
P0088,North,153,12
P0088,East,71,46
P0089,West,4,15
P0089,South,26,30
P0089,North,199,47
P0089,East,214,31
P0090,West,70,34
P0090,South,127,23
P0090,North,208,38
P0090,East,95,15
P0091,West,154,28
P0091,South,113,39
P0091,North,228,42
P0091,East,119,20
P0092,West,220,19
P0092,South,19,31
P0092,North,87,28
P0092,East,129,37
P0093,West,246,49
P0093,South,81,27
P0093,North,46,11
P0093,East,46,32
P0094,West,123,24
P0094,South,172,34
P0094,North,20,27
P0094,East,241,41
P0095,West,145,28
P0095,South,174,33
P0095,North,92,39
P0095,East,148,30
P0096,West,172,11
P0096,South,21,10
P0096,North,37,49
P0096,East,146,28
P0097,West,92,11
P0097,South,174,32
P0097,North,44,36
P0097,East,219,32
P0098,West,59,37
P0098,South,145,14
P0098,North,215,39
P0098,East,207,46
P0099,West,221,38
P0099,South,165,34
P0099,North,128,48
P0099,East,230,49
P0100,West,94,48
P0100,South,94,48
P0100,North,75,42
P0100,East,246,34
